 -15.9367581338   2.1343105067
 -29.1529792172   1.1732566788
  36.1895486267  34.3591091805
  37.4921873320  36.8379551637
 -48.0588294526   2.8089650745
  -8.9414579380   2.1210724767
  15.3077928892  14.7102683066
 -34.7062658113   2.6141843864
   1.3891543686   3.7401716657
 -44.3837598517   3.7316913105
   7.0135020824   7.6276588520
  22.7627489197  22.7524283022
 -16.7465357780   4.1702020089 -33.3180039906
 -14.5774707492   4.0672628038 -37.9121640283
  34.5157586573  31.8730675758 -51.2069379483
 -47.0100757432  10.6236561897  -6.1325958482
  36.9751190464  31.8360212813  21.2611832739
 -40.6861100154   4.9593697210 -40.3195294903
  -4.4720109758   4.4515988035 -14.5415316730
  26.5336348948  22.2763184575  32.5597602417
 -42.7976831002  -0.0000438738  13.3934325473
  25.3740993835  20.5038015793  44.2098859468
 -31.1095539773   3.8583447627  -1.1426776755
  27.3117686352  19.3650529156 -12.7668606523
  -3.2638620137   4.8837628055  34.0545053896
  -1.8182764871  11.0971588484  39.2235002774
 -40.7196624025   7.4617082662   1.9744967392
 -50.0132436455   1.4769346423  29.6217550987
 -17.4117715480   2.7191638776 -23.6696297067
   3.5881936966  10.9269006554  -9.0118013927
   7.0854802620   8.3487123463 -55.9405709068
  46.2823690185  52.7819279790 -35.7085975191
  14.6122890917  13.3573396061   9.5102053266
